episode,return,return_moving_average,steps,physics_steps,termination_reason,terminated,truncated,duck_collision,other_collision,offroad,timeout,goal,stop_compliance,teacher_probability,teacher_step_ratio,epsilon
0,-245.89765215033486,-245.89765215033486,194,1164,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
1,12.36342212235615,-116.76711501398935,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
2,-246.63179308662248,-160.0553410382004,206,1236,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
3,20.448211432823694,-114.92945292044438,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
4,29.569835224959032,-86.02959529136369,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
5,-21.86406748187839,-75.33534065644947,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
6,12.368660462815532,-62.80619763941162,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
7,-267.92592398362046,-88.44616343243773,133,798,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
8,22.57365928631545,-76.11062757479849,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
9,-40.86353940670445,-72.58591875798909,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
10,-43.276829111587894,-69.92145606286171,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
11,34.07201183415193,-61.25533373811057,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
12,31.924847398952107,-54.087627496798056,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
13,-277.0753531512719,-70.01532218640332,235,1410,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
14,-200.2886507619784,-78.70021075810834,80,480,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
15,29.39083942032298,-71.94452012195639,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
16,-27.708462703453424,-69.34239909733857,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
17,22.638401230777134,-64.23235463466547,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
18,-54.85669740067471,-63.73889899077122,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
19,-69.84684843273621,-64.04429646286947,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
20,24.511782318506675,-59.827340330422984,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
21,-276.77039997801387,-69.68838849622257,48,288,offroad,1,0,0,0,1,0,0,0.0,0.0,0.0,0.02
22,-57.367809156269914,-69.15271113361594,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
23,38.33715089186272,-64.67396688255432,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
24,39.46260312721315,-60.508504082163626,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
25,35.417607220474544,-56.81903826283139,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
26,36.25165946034416,-53.37197538419526,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
27,-36.659639915292566,-52.77510626030587,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
28,20.9434212248026,-50.2330880711642,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
29,-41.373733636734556,-49.937776256683215,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
30,-223.2008126543591,-55.52690646305986,98,588,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
31,-58.32528427986489,-55.614355769835015,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
32,-54.0834037279545,-55.56796328371742,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
33,15.958695704863656,-53.46423801934739,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
34,-72.51892909712598,-54.00865776442678,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
35,23.38408722340246,-51.85885929254263,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
36,11.130108509027682,-50.156454757365054,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
37,-40.45041923806087,-49.90103277001494,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
38,-6.9962570984433325,-48.80091031689772,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
39,-17.605260482586413,-48.02101907103994,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
40,16.702096903448872,-46.44240648629631,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
41,22.453955917760585,-44.802016905247335,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
42,-43.92417251874113,-44.781601919514635,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
43,-25.35621065818315,-44.34011575448437,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
44,-26.024882350291925,-43.93311056772454,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
