episode,return,return_moving_average,steps,physics_steps,termination_reason,terminated,truncated,duck_collision,other_collision,offroad,timeout,goal,stop_compliance,teacher_probability,teacher_step_ratio,epsilon
0,13.097637701792236,13.097637701792236,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.029875
1,65.97766280611893,39.53765025395558,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.02975
2,19.099760028020857,32.72502017864401,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.029625
3,17.801667012798607,28.994181887182656,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.0295
4,67.72938587151346,36.74122268404882,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.029375
5,18.18149547700265,33.64793481620779,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.029249999999999998
6,65.87816192656206,38.25225297482983,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.029124999999999998
7,66.81667420649565,41.82280562878805,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.028999999999999998
8,18.10257216446877,39.187224132752576,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.028874999999999998
9,17.927683056860076,37.061270025163324,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.028749999999999998
10,13.13227899360241,34.885907204112335,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.028624999999999998
11,67.6455416202314,37.61587673878893,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.028499999999999998
12,66.01394091757996,39.80034321408054,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.028374999999999997
13,13.55074360805957,37.92537181365047,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.028249999999999997
14,19.97102511160077,36.72841536684715,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.028124999999999997
15,65.858866261644,38.54906854777196,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.027999999999999997
16,17.326586013785345,37.30068722224333,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.027875
17,12.536635957446277,35.92490659642127,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.02775
18,18.92934778472055,35.030403501068605,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.027625
19,18.409700267399423,34.199368339385146,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.0275
20,18.19071157585341,33.43705135064554,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.027375
21,63.528849329978236,34.80486034970612,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.02725
