episode,return,return_moving_average,steps,physics_steps,termination_reason,terminated,truncated,duck_collision,other_collision,offroad,timeout,goal,stop_compliance,teacher_probability,teacher_step_ratio,epsilon
0,-203.68388412562,-203.68388412562,54,324,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
1,-203.80847193898555,-203.7461780323028,88,528,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
2,-210.62327841926026,-206.0385448279553,77,462,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
3,-211.82810851800184,-207.48593575046692,46,276,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
4,-202.32685487934248,-206.45411957624202,122,732,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
5,-205.76493679228147,-206.33925577891526,60,360,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
6,-197.79857722377955,-205.11915884246733,25,150,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
7,-206.7272080734394,-205.32016499633883,69,414,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
8,-202.86794769966787,-205.04769640781984,72,432,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
9,-208.96642210931086,-205.43956897796892,36,216,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
10,-204.09142261446755,-205.3170102176506,41,246,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
11,-206.41450055783122,-205.408467745999,56,336,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
12,-214.7341749268101,-206.12582983683063,61,366,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
13,-216.09794100909633,-206.83812349199246,35,210,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
14,-201.97818975237533,-206.51412790935132,51,306,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
15,-197.66685707703718,-205.96117348233167,23,138,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
