episode,return,return_moving_average,steps,physics_steps,termination_reason,terminated,truncated,duck_collision,other_collision,offroad,timeout,goal,stop_compliance,teacher_probability,teacher_step_ratio,epsilon
0,40.575999262321474,40.575999262321474,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.3981
1,41.03628352767302,40.80614139499725,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.3962
2,22.9192637906538,34.8438488602161,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.39430000000000004
3,23.022649265125455,31.888548961443437,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.3924
4,39.70759981318983,33.45235913179272,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.3905
5,40.908789256385475,34.695097485891516,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.3886
6,40.31819155781341,35.49839663902321,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.38670000000000004
7,21.926827062409224,33.80195044194647,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.38480000000000003
8,23.106804966378743,32.61360094466116,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.3829
9,40.478476003365046,33.400088450531555,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.381
10,40.05127817080224,34.00474206146525,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.3791
11,22.768869198755134,33.068419322906074,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.37720000000000004
12,40.795489523293504,33.662809338320486,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.3753
13,40.20688089975815,34.13024302128032,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.3734
14,21.757413232529846,33.305387702030295,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.37150000000000005
15,39.69588381606425,33.704793709157414,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.36960000000000004
16,22.899047787680175,33.06916159612934,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.3677
17,38.80996048218827,33.38809486757706,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.3658
18,23.822900985987726,32.88466361065131,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.3639
19,41.27851091078335,33.30435597565791,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.362
20,22.28911658497485,32.779820766577764,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.36010000000000003
21,22.181589703152206,32.298082990967515,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.3582
22,40.80558861866736,32.66797453999794,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.3563
23,20.19769253126011,32.14837945630053,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.35440000000000005
24,39.1912838534673,32.430095632187204,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.35250000000000004
