episode,return,return_moving_average,steps,physics_steps,termination_reason,terminated,truncated,duck_collision,other_collision,offroad,timeout,goal,stop_compliance,teacher_probability,teacher_step_ratio,epsilon
0,40.05127817080224,40.05127817080224,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.02975
1,22.768869198755134,31.410073684778688,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.0295
2,40.795489523293504,34.538545630950296,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.029249999999999998
3,40.20688089975815,35.95562944815226,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.028999999999999998
4,21.757413232529846,33.115986205027774,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.028749999999999998
5,39.69588381606425,34.21263580686719,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.028499999999999998
6,22.899047787680175,32.59640894698333,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.028249999999999997
7,38.80996048218827,33.37310288888395,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.027999999999999997
8,23.822900985987726,32.3119693441177,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.02775
9,41.27851091078335,33.20862350078427,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.0275
10,22.28911658497485,32.2159410538925,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.02725
11,22.181589703152206,31.37974510799748,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.027
12,40.80558861866736,32.10480999343362,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.02675
13,20.19769253126011,31.25430160327837,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.0265
14,39.1912838534673,31.783433753290964,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.02625
15,41.200007913582425,32.37196963830918,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.026
16,22.77966874997806,31.807716644877942,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.02575
17,23.101126333013625,31.324017183107703,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.0255
18,23.231867165770982,30.898114550616295,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.025249999999999998
19,23.339137174431272,30.520165681807043,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.025
20,41.311842445212754,31.034055051493027,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.02475
21,40.781132655616375,31.477104033498634,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.0245
22,22.751909192590176,31.09774773606783,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.02425
23,42.25170805975967,31.562496082888327,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.024
24,39.8246059898516,31.89298047916686,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.02375
25,40.81357095086614,32.236080112693756,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.0235
26,20.88034618850693,31.81549737476091,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.02325
27,20.26075465823134,31.40282799202771,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.023
28,22.25331723959883,31.0873276212543,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.02275
29,21.531490977968843,30.768799733144782,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.0225
30,40.4747626056114,31.081895309675964,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.02225
31,21.67391299171414,30.787895862239658,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.022
32,21.441845020585326,30.504682200371345,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.02175
33,22.87859943940549,30.280385648578232,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.0215
34,40.602607583809295,30.575306275299116,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.021249999999999998
35,23.77696529911383,30.386463470405076,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.020999999999999998
36,22.852302685679177,30.182837503250322,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.020749999999999998
37,41.45840216228931,30.479562889014506,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.020499999999999997
38,22.655181696388404,30.27893773022922,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.020249999999999997
39,21.094630877591133,30.049330058913267,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.02
40,40.805105571308054,30.31166604702046,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.019749999999999997
41,21.501942744166048,30.101910730285827,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.0195
42,40.390860389929344,30.3411886293473,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.01925
43,39.090575108761094,30.540038322061253,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.019
44,21.933014282520798,30.348771121182576,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.01875
45,41.80035509013087,30.59771859876841,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.0185
46,21.62290729255611,30.40676516672134,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.01825
47,41.38886684304447,30.63555895164474,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.018
48,40.90047858974646,30.845047107524366,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.017750000000000002
49,23.251889462739282,30.693183954628662,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.017499999999999998
50,21.951504832105144,30.331188487854725,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.01725
51,40.36938493449041,30.683198802569432,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.017
52,21.513333252516766,30.297555677153902,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.01675
53,23.914248791873593,29.971703034996207,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.0165
54,22.085913502339956,29.97827304039241,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.01625
55,22.711411378818823,29.638583591647507,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.016
56,23.597112070216514,29.652544877298237,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.01575
57,39.834215379198234,29.673029975238435,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.0155
58,24.413349498157555,29.684838945481825,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.01525
59,39.9074353903631,29.657417435073427,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.015
60,41.17553902818142,30.035145883937552,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.014750000000000001
61,40.26902464687599,30.396894582812035,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.014499999999999997
62,40.199706767249,30.384776945783663,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.014249999999999999
63,23.02223912345303,30.441267877627524,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.013999999999999999
64,40.62120280071473,30.469866256572473,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.013750000000000002
65,22.677644670414224,30.099418991709108,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.013499999999999998
66,23.76678177267918,30.11916125216313,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.013249999999999998
67,41.644244069718916,30.490023606897235,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.013000000000000001
68,41.701338213431974,30.859413027850454,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.012750000000000001
69,23.669064272644032,30.866011569814706,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.012499999999999997
70,40.54185219985127,30.850611764907477,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.01225
71,40.53696253130834,30.84572836242132,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.012
72,23.37129695408859,30.858116117651278,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.01175
73,40.32635734424245,30.81960910334094,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.0115
74,21.886247877385692,30.460841941091623,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.01125
75,21.56089718010015,30.075788465676304,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.011
76,40.732151122729405,30.47282456436075,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.01075
